time,pv generation Alborz,pv generation Ardebil,pv generation Bushehr,pv generation Chahar Mahall and Bakhtiari,pv generation East Azarbaijan,pv generation Esfahan,pv generation Fars,pv generation Gilan,pv generation Golestan,pv generation Hamadan,pv generation Hormozgan,pv generation Ilam,pv generation Kerman,pv generation Kermanshah,pv generation Khuzestan,pv generation Kohgiluyeh and Buyer Ahmad,pv generation Kordestan,pv generation Lorestan,pv generation Markazi,pv generation Mazandaran,pv generation North Khorasan,pv generation Qazvin,pv generation Qom,pv generation Razavi Khorasan,pv generation Semnan,pv generation Sistan and Baluchestan,pv generation South Khorasan,pv generation Tehran,pv generation West Azarbaijan,pv generation Yazd,pv generation Zanjan
2025-10-14 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1502.063694172405,0.0,0.0,0.0,6789.598101215663,0.0,23395.11079745737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581.0367139181092,0.0,0.0,18211.952147870816,491.29321181052546,40588.22819149672,16834.183076727208,0.0,0.0,7046.897258773496,0.0
2025-10-14 04:00:00,1654.4385562463199,2416.4620755638157,9526.416606204524,5912.023382971346,7743.7543180150205,53820.95444709884,62623.18560224325,553.1947714134631,3179.9183407174773,3282.9129121989995,40502.56564518035,3992.852868966777,116567.73805856815,3511.0193276502014,14215.780572638341,5107.284693543933,5918.3036427297,6751.519417020569,7232.976136508122,1991.9725560258526,11789.308368592086,2823.9589488982006,4375.6289801068315,86349.18532456794,36947.31795928515,146322.97264140198,70126.70940818387,4008.6800442173653,4084.121104300993,70977.99927128882,3779.830527009743
2025-10-14 05:00:00,4442.52270125963,7396.005917860665,23281.13031870968,15023.955546308998,27553.80463115513,126218.648515137,137615.22540668075,1502.5805929365001,7433.535045956894,9873.963802091681,82603.68076792856,13754.403635912726,220731.64829042114,12139.96632538508,41149.50374406729,12943.364509778057,20098.919548673148,20325.249609652292,19960.4832704441,4991.945544929381,24076.18818484952,7852.875385055184,11554.478091964591,161934.2932597536,84150.66242105482,245702.83353623614,123582.71172304376,9878.008791810018,15555.724809247236,145928.47873573797,11456.41382279179
2025-10-14 06:00:00,6820.122642741697,13663.063863779209,34951.440600477436,22657.345035331076,46818.75175276636,184241.94379821472,196935.21953873467,3688.85722979944,10227.642758608772,15774.13637750483,117722.38953351008,22983.975826789876,301013.7269141744,20338.05266426438,64918.561591243764,19483.924468480738,33535.60563014502,32470.35349766402,30881.13964629376,7842.102503888738,31327.829817928116,13346.025559218848,17591.049990577914,218343.58016441244,122329.91499508823,316383.1238257322,161750.48256961332,14906.976397351764,27329.064230707358,202678.76930996106,17623.095301370206
2025-10-14 07:00:00,8371.861078401795,18861.371180247173,42520.554315353074,27660.52253598402,62682.555171841974,221544.72252024355,234772.96314696106,4993.97519200149,12945.627240659158,19776.283578550985,138151.67496066188,29422.754108856992,348296.220473609,26066.749996306964,80798.01377603789,23752.959461038732,42946.18839717691,40674.4806583823,38205.54840545505,11075.55902709626,37505.919788194624,17307.481810436842,21575.65001188398,252244.6094209707,146674.14078572477,357953.6105054781,183753.38828423762,19000.824488265553,35843.782663497,237381.28441713552,25258.50438472673
2025-10-14 08:00:00,9233.737282342388,20358.137635853625,46058.49857481444,30177.251334409924,69533.16556804565,239723.32054834702,251640.81120579797,5463.918158399806,13540.801881468744,21871.69289880828,146398.5458415351,32742.56382470238,367381.54843519337,29104.297563142536,88529.12984119117,25796.2667770893,48043.424676207665,44947.98707824262,41957.985348089605,12323.280206553414,39005.36184358482,18965.038926670168,23566.323764701505,265255.20866401336,157735.61956921982,371161.2230667284,191670.6699853536,20658.597336447994,40716.86440254737,252772.89510738786,29052.322665160777
2025-10-14 09:00:00,9522.841986451926,21408.977973051555,46850.84637793385,30831.205050044475,71914.86150230675,242756.5621614625,254124.27430160856,6482.0835126162,13705.3019616314,22512.93669451056,146321.02908789177,34056.421772535025,364433.88358985033,30240.8195952558,90999.77660077327,26324.900356061687,49778.373402345656,46390.89585689578,42918.965075175955,12965.387797253114,38400.449074801385,20333.644125159102,24025.382918482326,261893.62627073977,157203.99936122834,361253.28593348665,188842.38342140728,21098.28366710139,42558.33858318659,252944.7227002368,30468.11905980611
2025-10-14 10:00:00,9097.992641349094,21057.158046171095,44909.10839775695,29660.890766530592,71867.57982305865,231702.48651410194,242263.13429227748,5588.448559322435,14118.881756329956,21797.366624908533,134317.92205322877,33259.44671866347,337044.99059739325,29532.785303669,87911.60569714279,25315.56326917687,48488.778689639425,44999.92192521217,41323.076590851975,12947.258596049278,38684.4248668349,19123.696015266505,23082.057991635,238968.29653705284,149528.60258345085,328488.0645928582,174784.3937184508,20377.121515748437,41641.29550371891,238489.04582640316,29521.423092996985
2025-10-14 11:00:00,8076.080323796867,19847.71518656276,39935.955353355464,26478.95077244135,65144.66675965566,204393.641792516,213612.29278614186,5311.243296052923,11203.171525170475,19694.44669092814,112164.73800846563,30448.25348985423,288185.8569343821,27038.997878886403,79392.18431542352,22644.754930059094,44171.941222225,40733.13110055509,36965.40440587312,9950.975981514992,31245.197762869793,17585.46626138682,20537.073223991047,195834.18821505338,126023.01798665359,270141.00139194436,146093.0098077414,17595.74544067094,38058.89618684817,206548.00521181442,27008.512941076042
2025-10-14 12:00:00,6301.951164851861,15439.301083511878,31258.911485999222,20919.730769565504,53615.6902355222,157543.13567657679,164710.3808202895,3759.040857002322,7361.880223957739,15851.518272371493,83413.65417310677,25010.26454458952,205091.21784261006,22220.80267966146,63749.19299993123,17908.153692097087,36077.25827835509,32871.98824530436,29263.997267096813,6627.318424453514,21284.2965754863,13643.368522142064,16063.793553716672,134876.49346563558,94191.08335213576,185837.8443505828,100778.96191977602,13004.221542517773,31294.438587102773,153461.16364011794,21420.806044640383
2025-10-14 13:00:00,3794.73354797861,9625.286183938859,18772.856712305012,12895.875829485592,35085.61103678359,91201.24461045228,95378.77077667422,2258.642287333258,3200.5182896081446,10166.81350544727,43890.85230225427,16689.26768305504,102746.35830023521,14871.744389684654,40408.468190984946,11004.686604075676,23904.821766089834,21205.65643375245,18088.608906979207,3448.6221761126335,9959.987076646776,8363.565640947598,9608.909587206172,59503.40672197094,49609.919683184424,81766.06640978249,43946.33631085969,7421.869139325616,21085.66157670678,80786.00189307131,13434.951061441101
2025-10-14 14:00:00,1065.8454110297812,3217.844938047965,5329.490450787955,3970.132026908497,13242.747667561183,23100.709858651975,23878.816066091265,663.609676914571,496.95166501997545,3535.938385981794,8133.474209276966,6543.995439133916,15464.554272663327,5906.836862178006,13467.681664237634,3350.4600743011665,9236.205218091389,7556.912609605338,5608.394080458708,977.9392068472264,175.6413657750476,2589.0596302270824,2673.3259132971157,166.82065421675378,9749.141980822413,0.0,0.0,1953.523151299398,8664.434913108056,14584.861350578341,4634.166360770412
2025-10-14 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-15 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-15 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-15 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1178.9464360465945,0.0,0.0,0.0,7546.1491631201325,0.0,23600.21563267204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.8371519011498,0.0,0.0,18510.98870365861,311.07973560344465,35705.725480287634,16638.82422310191,0.0,0.0,6624.647847894924,0.0
2025-10-15 04:00:00,1651.9731198495297,2651.0475790483265,9710.956534775709,5941.37436890047,7896.926778902802,53885.64105346964,62726.134287924644,927.4934358799385,4421.506447179794,3283.388119652107,43206.624307668586,4224.473801896943,118951.52536772522,3587.114674025408,14738.63564626521,5109.843471779683,5946.908465934474,6867.782329961881,7181.73407218809,3359.5911632214547,12008.933231491847,3268.848038578448,4352.256859718532,86788.66775361823,38690.75229567135,125722.32413435791,70227.95183243426,4454.764653815261,4134.441885465403,71279.90491099648,3986.6461050973435
