technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
H2 (g) fill compressor station,,,,0.0,,1.7,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,4738.7164,20.0,,,,,,,,,,,,,,,,,0.0,527.8594840635478
H2 (g) pipeline,,,,0.0,,3.5833,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.02,,0.0,,,,,,303.6845,50.0,,,,,,,,,,,,,,,,,0.0,32.88685986601099
H2 (g) pipeline repurposed,,,,0.0,,3.5833,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.02,,0.0,,,,,,129.4682,50.0,,,,,,,,,,,,,,,,,0.0,14.020480302763833
H2 (g) submarine pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.02,,0.0,,,,,,456.1165,30.0,,,,,,,,,,,,,,,,,0.0,50.44028331707574
H2 (g) submarine pipeline repurposed,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.02,,0.0,,,,,,160.1562,30.0,,,,,,,,,,,,,,,,,0.0,17.711098158006227
H2 (l) storage tank,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,793.7456,20.0,,,,,,,,,,,,,,,,,0.0,90.79888147983591
H2 (l) transport ship,,,,0.0,,4.0,,,0.0,,,,11000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,393737000.0,20.0,,,,,,,,,,,,,,,,,0.0,52915467.40337226
H2 evaporation,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,146840.5,20.0,,,,,,,,,,,,,,,,,0.0,17531.716912602533
H2 liquefaction,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.203,,0.0,,,,,1.017,889942.6,20.0,,,,,,,,,,,,,,,,,0.0,106252.85075755988
H2 pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,282.5452,40.0,,,,,,,,,,,,,,,,,0.0,29.669828144872003
H2 production biomass gasification,,,,0.0,,5.0,,,0.5118,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.097,,0.0,,,,,,1467939.9000000001,20.0,,,,,,,,,,,,,,,1.804,,0.5118,211960.1369762622
H2 production biomass gasification CC,,,,0.0,,5.0,,,0.5232,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.143,,0.0,,,,,,1489095.7000000002,20.0,,,,,,,,,,,,,,,1.804,,0.5232,215014.88483470137
H2 production coal gasification,,,,0.0,,5.9,,,0.6677,,,,,,,,,,1.77,,,,0.07,,,,1.0,,,,,,,0.07,,0.0,,,,,,526051.6,20.0,,,,,,,,,,,,,,,,,0.6677,80692.59401592083
H2 production coal gasification CC,,,,0.0,,7.9,,,0.2275,,,,,,,,,,1.77,,,,0.07,,,,1.0,,,,,,,0.111,,0.0,,,,,,591907.6,20.0,,,,,,,,,,,,,,,,,0.2275,102632.59053366867
H2 production heavy oil partial oxidation,,,,0.0,,5.0,,,0.1592,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.063,,0.0,,,,,,491133.10000000003,25.0,,,,,,,1.3,,,,,,,,,,0.1592,66701.0403351889
H2 production natural gas steam reforming,,,,0.0,,4.9,,,267.29999999999995,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.02,,0.0,1.32,,,,,228846.7,20.0,,,,,,,,,,,,,,,,,267.29999999999995,32814.99785968911
H2 production natural gas steam reforming CC,,,,0.0,,5.2,,,341.2,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.05,,0.0,1.52,,,,,310285.1,20.0,,,,,,,,,,,,,,,,,341.2,45423.54360353866
H2 production solid biomass steam reforming,,,,0.0,,4.0,,,0.7393,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.044,,0.0,,,,,,590656.3999999999,20.0,,,,,,,,,,,,,,,1.36,,0.7393,79380.0417049787
